GRD_NEWIDS,POB
1kmN2035E3150,1905
1kmN2035E3151,6720
1kmN2035E3152,3765
1kmN2035E3153,8430
1kmN2035E3154,2215
1kmN2035E3155,515
1kmN2035E3157,95
1kmN2035E3158,11535
1kmN2035E3159,17325
1kmN2035E3160,27225
1kmN2035E3161,21070
1kmN2035E3162,5090
1kmN2035E3163,11410
1kmN2035E3164,17840
1kmN2035E3165,18150
1kmN2035E3166,4140
1kmN2035E3175,630
1kmN2035E3176,1935
1kmN2035E3177,855
1kmN2036E3129,920
1kmN2036E3130,1930
1kmN2036E3133,490
1kmN2036E3134,1035
1kmN2036E3135,915
1kmN2036E3143,395
1kmN2036E3144,245
1kmN2036E3145,155
1kmN2036E3146,4115
1kmN2036E3147,1905
1kmN2036E3151,1465
1kmN2036E3152,1190
1kmN2036E3153,2350
1kmN2036E3154,590
1kmN2036E3155,485
1kmN2036E3157,2680
1kmN2036E3158,11795
1kmN2036E3159,36095
1kmN2036E3160,25070
1kmN2036E3161,4090
1kmN2036E3162,5575
1kmN2036E3163,15890
1kmN2036E3164,8040
1kmN2036E3165,5570
1kmN2036E3166,95
1kmN2036E3174,400
1kmN2036E3175,3855
1kmN2036E3176,4795
1kmN2036E3177,2535
1kmN2037E3127,15
1kmN2037E3129,115
1kmN2037E3130,90
1kmN2037E3134,3535
1kmN2037E3135,2140
1kmN2037E3140,0
1kmN2037E3145,3100
1kmN2037E3146,6480
1kmN2037E3147,3725
1kmN2037E3149,185
1kmN2037E3150,1090
1kmN2037E3151,215
1kmN2037E3152,45
1kmN2037E3153,455
1kmN2037E3154,85
1kmN2037E3156,215
1kmN2037E3157,3290
1kmN2037E3158,10790
1kmN2037E3159,19715
1kmN2037E3160,14490
1kmN2037E3161,12925
1kmN2037E3162,5220
1kmN2037E3163,1820
1kmN2037E3164,12710
1kmN2037E3165,3845
1kmN2037E3174,0
1kmN2037E3175,1130
1kmN2037E3176,780
1kmN2038E3134,2795
1kmN2038E3135,1345
1kmN2038E3139,1665
1kmN2038E3140,175
1kmN2038E3143,0
1kmN2038E3145,8715
1kmN2038E3146,16555
1kmN2038E3147,5515
1kmN2038E3148,3775
1kmN2038E3149,1200
1kmN2038E3150,190
1kmN2038E3158,640
1kmN2038E3159,4270
1kmN2038E3160,10745
1kmN2038E3161,8260
1kmN2038E3162,5305
1kmN2038E3163,10910
1kmN2038E3164,3125
1kmN2038E3165,3025
1kmN2038E3166,2170
1kmN2038E3167,640
1kmN2038E3168,290
1kmN2038E3174,100
1kmN2038E3175,405
1kmN2039E3139,1245
1kmN2039E3140,895
1kmN2039E3145,2350
1kmN2039E3146,7945
1kmN2039E3147,3305
1kmN2039E3148,370
1kmN2039E3160,5645
1kmN2039E3161,9735
1kmN2039E3162,2315
1kmN2039E3163,12080
1kmN2039E3164,3175
1kmN2039E3165,3425
1kmN2039E3166,530
1kmN2039E3167,420
1kmN2039E3168,535
1kmN2039E3169,325
1kmN2039E3174,335
1kmN2039E3175,340
1kmN2040E3127,295
1kmN2040E3128,190
1kmN2040E3129,315
1kmN2040E3139,50
1kmN2040E3140,735
1kmN2040E3141,170
1kmN2040E3144,545
1kmN2040E3145,7875
1kmN2040E3146,15445
1kmN2040E3147,2730
1kmN2040E3148,30
1kmN2040E3161,225
1kmN2040E3162,560
1kmN2040E3164,20
1kmN2040E3165,2190
1kmN2040E3166,7335
1kmN2040E3167,2480
1kmN2040E3168,830
1kmN2040E3169,1090
1kmN2041E3124,290
1kmN2041E3125,845
1kmN2041E3127,305
1kmN2041E3128,480
1kmN2041E3129,700
1kmN2041E3132,80
1kmN2041E3133,145
1kmN2041E3138,2445
1kmN2041E3139,4680
1kmN2041E3140,425
1kmN2041E3141,0
1kmN2041E3145,1900
1kmN2041E3146,3465
1kmN2041E3147,1035
1kmN2041E3148,125
1kmN2041E3155,1370
1kmN2041E3159,35
1kmN2041E3162,30
1kmN2041E3166,390
1kmN2041E3167,3270
1kmN2041E3168,460
1kmN2042E3124,95
1kmN2042E3125,1035
1kmN2042E3126,5
1kmN2042E3127,10
1kmN2042E3128,115
1kmN2042E3132,350
